id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
185,2019-09-27 17:08:29.594346,,,,,,f,,{},3LS2AMNW5HEHEJWDLE5EW7LPVYDQO7,AssignmentAbandoned
186,2019-09-27 17:09:04.226449,,,,,,f,,{},3LS2AMNW5HEHEJWDLE5EW7LPVYDQO7,AssignmentAccepted
187,2019-09-27 17:10:13.505693,,,,,,f,,{},3TE3O85732W3JDM8BVWHUKSRQGUR2G,AssignmentReturned
188,2019-09-27 17:10:32.017718,,,,,,f,,{},3TE3O85732W3JDM8BVWHUKSRQGUR2G,AssignmentAccepted
189,2019-09-27 17:11:17.847933,,,,,,f,,{},3LS2AMNW5HEHEJWDLE5EW7LPVYDQO7,AssignmentReturned
190,2019-09-27 17:11:35.153615,,,,,,f,,{},3LS2AMNW5HEHEJWDLE5EW7LPVYDQO7,AssignmentAccepted
191,2019-09-27 17:15:11.838945,,,,,,f,,{},3MD9PLUKKK28AQXS7VOE8BXOAS1ZN5,AssignmentReturned
192,2019-09-27 17:15:28.943771,,,,,,f,,{},3MD9PLUKKK28AQXS7VOE8BXOAS1ZN5,AssignmentAccepted
193,2019-09-27 17:16:31.526795,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentReturned
194,2019-09-27 17:16:42.296645,,,,,,f,,{},3MD9PLUKKK28AQXS7VOE8BXOAS1ZN5,AssignmentAccepted
195,2019-09-27 17:16:42.307967,,,,,,f,,{},3MD9PLUKKK28AQXS7VOE8BXOAS1ZN5,AssignmentReturned
196,2019-09-27 17:16:50.645449,,,,,,f,,{},369J354OFFY0COWVIME8LTVW4B2G65,AssignmentAccepted
197,2019-09-27 17:17:01.750642,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentAccepted
198,2019-09-27 17:17:01.778359,,,,,,f,,{},3L4D84MIL1GQ0F6DMBQFFXC25H5HJH,AssignmentAbandoned
199,2019-09-27 17:18:46.945411,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentReturned
200,2019-09-27 17:19:10.318877,,,,,,f,,{},3A0EX8ZRNAC64RYQ8JHM39OSN8YBYE,AssignmentSubmitted
201,2019-09-27 17:19:16.096434,,,,,,f,,{},3SB5N7Y3O5S5YDAGGXYRCSL5R970GH,AssignmentAccepted
202,2019-09-27 17:19:16.133359,,,,,,f,,{},3X66WABAJY61F59DZKGAEQJCULRG3S,AssignmentAccepted
203,2019-09-27 17:19:20.289727,,,,,,f,,{},3QRYMNZ7F05COEOT13ZWMNW7PWPTNT,AssignmentAccepted
204,2019-09-27 17:19:20.300629,,,,,,f,,{},3TE3O85732W3JDM8BVWHUKSRQG22RZ,AssignmentAccepted
205,2019-09-27 17:19:20.753315,,,,,,f,,{},3180JW2OT60EKMMIL9P6Q09C09Z5JB,AssignmentAccepted
206,2019-09-27 17:19:20.789297,,,,,,f,,{},3DHE4R9OCYZCUNDUVK25VGEKO7RG2H,AssignmentAccepted
